,ID,Cleaned_SMILES,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv0_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv1_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv2_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv3_39,EfpA_MLM_inhouse20230228_cutoff30_global1-inhouse2_cv4_39,True_Label
28,GDI13-661,CC1(C)C(C(=O)Nc2ccc(-c3cnn(CCN4CC5CC(C4)O5)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.410218984,0.905642986,0.25583598,0.959096611,0.042162962,
29,GDI13-664,CC1(C)C(C(=O)Nc2ccc(-c3cnn(CCNCC(F)(F)F)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.448598176,0.821530879,0.245630905,0.36280176,0.010491868,
30,GDI13-666,CC1(C)C(C(=O)Nc2ccc(-c3nc[nH]n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.015664957,0.692627847,0.011998026,0.07685522,0.456044674,
31,GDI13-667,Cn1cnc(-c2ccc(NC(=O)C3C(c4ncc(F)cn4)C3(C)C)nc2C(F)(F)F)n1,0.221980318,0.657146096,0.133612648,0.107254297,0.77558428,
32,GDI13-668,CC1(C)C(C(=O)Nc2ccc(-n3cnnc3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.045448542,0.016876761,0.049104508,0.022220505,0.059902068,
33,GDI13-669,CC1(C)C(C(=O)Nc2ccc(-n3cnnc3C(F)(F)F)c(C#N)n2)C1c1ncc(F)cn1,0.05204476,0.092028201,0.02050481,0.015696539,0.278456181,
34,GDI13-670,CC1(C)C(C(=O)Nc2ccc(-n3cncn3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.049951248,0.024680438,0.009396539,0.021677008,0.000646465,
35,GDI13-671,CC1(C)C(C(=O)Nc2ccc(-n3cnc(C(F)(F)F)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.037307639,0.099466965,0.025293101,0.015197018,0.210154459,
36,GDI13-672,CC1(C)C(C(=O)Nc2ccc(-n3cnc(C#N)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.077937059,0.025822459,0.01938778,0.029825715,0.010787706,
37,GDI13-673,CC1(C)C(C(=O)Nc2ccc(-c3cnn(CC(=O)N4CCOCC4)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.90612042,0.793848634,0.375389248,0.924309492,0.443340451,
38,GDI13-674,CC1(C)C(C(=O)Nc2ccc(-c3cnn(C4CCOCC4)n3)c(C(F)(F)F)n2)C1c1ncc(F)cn1,0.327036709,0.596595347,0.504237235,0.236203805,0.321579754,
